ch	pt	fine_thr	a_fit	b_fit
11	 6	 3	215.189	0.734
11	 6	 4	213.957	0.680
11	 6	 5	213.020	0.683
11	 6	 6	211.938	0.743
11	 6	 7	211.061	0.721
11	 7	 0	218.240	0.666
11	 7	 1	217.214	0.621
11	 7	 2	216.237	0.661
11	 7	 3	215.248	0.693
11	 7	 4	213.948	0.664
11	 7	 5	212.976	0.667
11	 7	 6	211.940	0.715
11	 7	 7	210.973	0.655
12	 0	 0	229.231	4.981
12	 0	 1	228.218	4.994
12	 0	 2	227.138	4.961
12	 0	 3	226.096	4.969
12	 0	 4	225.335	5.037
12	 0	 5	224.315	5.023
12	 0	 6	223.553	4.881
12	 0	 7	222.191	4.914
12	 1	 0	229.027	1.938
12	 1	 1	227.921	1.897
12	 1	 2	227.211	2.086
12	 1	 3	226.040	2.059
12	 1	 4	225.208	2.026
12	 1	 5	224.082	1.971
12	 1	 6	223.160	2.109
12	 1	 7	222.271	2.188
12	 2	 0	229.012	1.262
12	 2	 1	227.973	1.229
12	 2	 2	226.973	1.206
12	 2	 3	225.927	1.254
12	 2	 4	225.062	1.292
12	 2	 5	223.987	1.238
12	 2	 6	223.125	1.268
12	 2	 7	222.082	1.206
12	 3	 0	228.946	0.942
12	 3	 1	227.929	0.971
12	 3	 2	226.977	0.941
12	 3	 3	225.979	1.047
12	 3	 4	225.073	1.006
12	 3	 5	224.060	0.959
12	 3	 6	223.068	0.957
12	 3	 7	222.038	1.046
12	 4	 0	228.902	0.798
12	 4	 1	227.915	0.814
12	 4	 2	226.961	0.843
12	 4	 3	225.953	0.855
12	 4	 4	225.066	0.825
12	 4	 5	223.978	0.824
12	 4	 6	223.076	0.834
12	 4	 7	222.084	0.821
12	 5	 0	228.883	0.715
12	 5	 1	227.890	0.786
12	 5	 2	226.946	0.699
12	 5	 3	225.971	0.745
12	 5	 4	225.038	0.748
12	 5	 5	224.024	0.696
12	 5	 6	223.140	0.650
12	 5	 7	222.041	0.732
12	 6	 0	228.891	0.674
12	 6	 1	227.880	0.669
12	 6	 2	226.946	0.677
12	 6	 3	225.873	0.674
12	 6	 4	225.027	0.703
12	 6	 5	223.922	0.701
12	 6	 6	223.068	0.678
12	 6	 7	221.973	0.653
12	 7	 0	228.895	0.687
12	 7	 1	227.908	0.698
